record_id,date,hour,day_of_week,is_weekend,month,season,is_holiday,temperature_C,humidity_percent,wind_speed_kmph,precipitation_mm,building_type,square_footage,building_age_years,num_occupants,num_appliances,insulation_quality,energy_star_rating,solar_panel_installed,electricity_price_per_kWh,ac_usage_hours,heating_usage_hours,lighting_hours,previous_day_consumption_kWh,avg_weekly_consumption_kWh,energy_consumption_kWh
1,2023-01-01,1,6,1,1,Winter,1,17.1,24.1,12.1,0.0,Residential,1669.0,55,4,15,5,1,0,8.45,0.6316618482696668,1.9,7.4,37.46,42.33,41.12
2,2023-01-01,1,6,1,1,Winter,1,6.2,50.5,20.8,0.3,Residential,1338.0,16,1,12,5,2,0,8.58,0.7448305311286305,6.8,6.4,55.07,54.45,49.65
3,2023-01-01,1,6,1,1,Winter,1,16.4,51.7,2.7,1.4,Commercial,4217.0,7,27,28,3,2,0,7.61,1.2971101842309798,3.6,6.9,118.65,126.27,118.34
4,2023-01-01,2,6,1,1,Winter,1,10.6,49.3,16.8,0.0,Residential,1252.0,23,4,7,5,1,0,7.93,0.34575371712021685,3.7,6.4,39.96,40.95,40.83
5,2023-01-01,2,6,1,1,Winter,1,14.8,69.5,10.1,0.0,Residential,1634.0,53,3,12,4,3,0,8.18,0.17165642699425138,3.1,5.9,46.64,45.0,42.56
6,2023-01-01,4,6,1,1,Winter,1,5.8,60.0,14.9,0.0,Residential,1386.0,28,5,5,3,2,0,7.93,0.23581674483059573,9.0,4.2,60.16,55.17,56.17
7,2023-01-01,4,6,1,1,Winter,1,5.4,84.6,3.1,0.0,Residential,1330.0,29,2,9,1,5,0,6.7,0.0,7.5,7.7,52.53,54.2,51.79
8,2023-01-01,4,6,1,1,Winter,1,3.4,61.4,8.7,0.0,Industrial,21177.0,5,68,138,5,1,0,9.39,1.255777328474476,7.9,5.7,449.12,378.02,396.67
9,2023-01-01,5,6,1,1,Winter,1,8.1,61.6,6.6,0.0,Industrial,27518.0,49,75,184,5,1,1,7.18,0.6099553434150842,4.7,3.4,371.05,459.22,431.58
10,2023-01-01,5,6,1,1,Winter,1,7.3,58.3,27.2,0.0,Residential,1768.0,7,4,14,2,4,0,9.13,0.46093866257164723,5.6,4.2,52.11,51.69,54.22
11,2023-01-01,6,6,1,1,Winter,1,1.5,51.8,1.8,0.0,Residential,1161.0,19,3,9,5,1,1,7.53,0.0,10.8,5.7,45.58,47.82,45.8
12,2023-01-01,7,6,1,1,Winter,1,-2.3,47.2,10.9,0.0,Commercial,8133.0,14,25,57,3,4,0,8.02,0.1041566393000175,11.3,8.5,193.36,162.2,176.97
13,2023-01-01,7,6,1,1,Winter,1,5.5,52.2,2.4,0.0,Residential,1909.0,19,1,12,3,2,0,8.68,0.5653354556051599,5.7,5.6,53.32,50.69,52.06
14,2023-01-01,8,6,1,1,Winter,1,5.6,52.7,2.8,0.0,Residential,2273.0,20,4,16,5,1,0,7.14,0.3585592803255086,9.2,5.3,53.61,59.08,60.44
15,2023-01-01,9,6,1,1,Winter,1,1.2,53.9,4.8,0.0,Commercial,10781.0,6,31,72,1,4,0,7.7,1.1083746753609067,9.6,5.0,214.01,206.04,195.99
16,2023-01-01,9,6,1,1,Winter,1,0.6,62.6,4.8,0.0,Residential,1822.0,41,2,13,4,3,0,7.13,0.25517727933664097,10.1,10.3,58.25,65.13,62.62
17,2023-01-01,9,6,1,1,Winter,1,6.2,58.6,2.7,0.0,Commercial,6771.0,20,33,42,3,3,0,6.45,0.09975211332965161,7.3,5.9,165.61,148.16,146.95
